TOP.678ebf6e.000270e6	START
TOP.678ebf6e.000270e6	user_options->brain_session	0
TOP.678ebf6e.000270e6	hashes->hashfile	C:\Users\Slovain Daniele\Desktop\python-wifi-master\src\handshake\2025-01-20-23-20-14.hccapx
TOP.678ebf6e.000270e6	hashes->hashlist_mode	5
TOP.678ebf6e.000270e6	hashes->hashlist_format	0
TOP.678ebf6e.000270e6	hashes->hashes_cnt	0
TOP.678ebf6e.000270e6	hashes->digests_cnt	1
TOP.678ebf6e.000270e6	hashes->digests_done_pot	0
TOP.678ebf6e.000270e6	hashes->digests_done_zero	0
TOP.678ebf6e.000270e6	hashes->digests_done	0
TOP.678ebf6e.000270e6	hashes->salts_cnt	1
TOP.678ebf6e.000270e6	hashes->salts_done	0
TOP.678ebf6e.000270e6	SUB.678ebf6e.00072bee	START
TOP.678ebf6e.000270e6	SUB.678ebf6e.00072bee	straight_ctx->dict	C:\Users\Slovain Daniele\Desktop\python-wifi-master\src\dict\marian_pestuchi.txt
TOP.678ebf6e.000270e6	SUB.678ebf6e.00072bee	runtime_start	1737408367
TOP.678ebf6e.000270e6	SUB.678ebf6e.00072bee	runtime_stop	1737408367
TOP.678ebf6e.000270e6	SUB.678ebf6e.00072bee	hashes->digests_done_new	0
TOP.678ebf6e.000270e6	SUB.678ebf6e.00072bee	status-after-work	5
TOP.678ebf6e.000270e6	SUB.678ebf6e.00072bee	STOP
TOP.678ebf6e.000270e6	proc_start	1737408366
TOP.678ebf6e.000270e6	proc_stop	1737408368
TOP.678ebf6e.000270e6	STOP
TOP.678ec0c4.0006826b	START
TOP.678ec0c4.0006826b	folder_config->cwd	C:\Users\Slovain Daniele\Desktop\python-wifi-master\src
TOP.678ec0c4.0006826b	folder_config->install_dir	.
TOP.678ec0c4.0006826b	folder_config->profile_dir	.
TOP.678ec0c4.0006826b	folder_config->session_dir	.
TOP.678ec0c4.0006826b	folder_config->shared_dir	.
TOP.678ec0c4.0006826b	user_options->encoding_from	utf-8
TOP.678ec0c4.0006826b	user_options->encoding_to	utf-8
TOP.678ec0c4.0006826b	user_options->rule_buf_l	:
TOP.678ec0c4.0006826b	user_options->rule_buf_r	:
TOP.678ec0c4.0006826b	user_options->session	hashcat
TOP.678ec0c4.0006826b	user_options->separator	:
TOP.678ec0c4.0006826b	user_options->limit	0
TOP.678ec0c4.0006826b	user_options->skip	0
TOP.678ec0c4.0006826b	user_options->attack_mode	0
TOP.678ec0c4.0006826b	user_options->benchmark	0
TOP.678ec0c4.0006826b	user_options->benchmark_all	0
TOP.678ec0c4.0006826b	user_options->bitmap_max	18
TOP.678ec0c4.0006826b	user_options->bitmap_min	16
TOP.678ec0c4.0006826b	user_options->debug_mode	0
TOP.678ec0c4.0006826b	user_options->hash_info	0
TOP.678ec0c4.0006826b	user_options->force	0
TOP.678ec0c4.0006826b	user_options->hwmon_disable	0
TOP.678ec0c4.0006826b	user_options->hwmon_temp_abort	90
TOP.678ec0c4.0006826b	user_options->hash_mode	22000
TOP.678ec0c4.0006826b	user_options->hex_charset	0
TOP.678ec0c4.0006826b	user_options->hex_salt	0
TOP.678ec0c4.0006826b	user_options->hex_wordlist	0
TOP.678ec0c4.0006826b	user_options->hook_threads	8
TOP.678ec0c4.0006826b	user_options->identify	0
TOP.678ec0c4.0006826b	user_options->increment	0
TOP.678ec0c4.0006826b	user_options->increment_max	256
TOP.678ec0c4.0006826b	user_options->increment_min	1
TOP.678ec0c4.0006826b	user_options->keep_guessing	0
TOP.678ec0c4.0006826b	user_options->kernel_accel	0
TOP.678ec0c4.0006826b	user_options->kernel_loops	0
TOP.678ec0c4.0006826b	user_options->kernel_threads	0
TOP.678ec0c4.0006826b	user_options->keyspace	0
TOP.678ec0c4.0006826b	user_options->left	0
TOP.678ec0c4.0006826b	user_options->logfile_disable	0
TOP.678ec0c4.0006826b	user_options->loopback	0
TOP.678ec0c4.0006826b	user_options->machine_readable	0
TOP.678ec0c4.0006826b	user_options->markov_classic	0
TOP.678ec0c4.0006826b	user_options->markov_disable	0
TOP.678ec0c4.0006826b	user_options->markov_inverse	0
TOP.678ec0c4.0006826b	user_options->markov_threshold	256
TOP.678ec0c4.0006826b	user_options->multiply_accel_disable	0
TOP.678ec0c4.0006826b	user_options->backend_info	0
TOP.678ec0c4.0006826b	user_options->backend_vector_width	0
TOP.678ec0c4.0006826b	user_options->optimized_kernel_enable	0
TOP.678ec0c4.0006826b	user_options->outfile_autohex	1
TOP.678ec0c4.0006826b	user_options->outfile_check_timer	5
TOP.678ec0c4.0006826b	user_options->outfile_format	3
TOP.678ec0c4.0006826b	user_options->wordlist_autohex_disable	0
TOP.678ec0c4.0006826b	user_options->potfile_disable	0
TOP.678ec0c4.0006826b	user_options->progress_only	0
TOP.678ec0c4.0006826b	user_options->quiet	0
TOP.678ec0c4.0006826b	user_options->remove	0
TOP.678ec0c4.0006826b	user_options->remove_timer	60
TOP.678ec0c4.0006826b	user_options->restore	0
TOP.678ec0c4.0006826b	user_options->restore_disable	0
TOP.678ec0c4.0006826b	user_options->restore_timer	1
TOP.678ec0c4.0006826b	user_options->rp_files_cnt	0
TOP.678ec0c4.0006826b	user_options->rp_gen	0
TOP.678ec0c4.0006826b	user_options->rp_gen_func_max	4
TOP.678ec0c4.0006826b	user_options->rp_gen_func_min	1
TOP.678ec0c4.0006826b	user_options->rp_gen_seed	0
TOP.678ec0c4.0006826b	user_options->runtime	0
TOP.678ec0c4.0006826b	user_options->scrypt_tmto	0
TOP.678ec0c4.0006826b	user_options->segment_size	33554432
TOP.678ec0c4.0006826b	user_options->self_test_disable	0
TOP.678ec0c4.0006826b	user_options->slow_candidates	0
TOP.678ec0c4.0006826b	user_options->show	0
TOP.678ec0c4.0006826b	user_options->speed_only	0
TOP.678ec0c4.0006826b	user_options->spin_damp	0
TOP.678ec0c4.0006826b	user_options->status	0
TOP.678ec0c4.0006826b	user_options->status_json	0
TOP.678ec0c4.0006826b	user_options->status_timer	10
TOP.678ec0c4.0006826b	user_options->stdout_flag	0
TOP.678ec0c4.0006826b	user_options->usage	0
TOP.678ec0c4.0006826b	user_options->username	0
TOP.678ec0c4.0006826b	user_options->veracrypt_pim_start	485
TOP.678ec0c4.0006826b	user_options->veracrypt_pim_stop	485
TOP.678ec0c4.0006826b	user_options->version	0
TOP.678ec0c4.0006826b	user_options->workload_profile	2
TOP.678ec0c4.0006826b	user_options->brain_client	0
TOP.678ec0c4.0006826b	user_options->brain_client_features	2
TOP.678ec0c4.0006826b	user_options->brain_server	0
TOP.678ec0c4.0006826b	user_options->brain_server_timer	300
TOP.678ec0c4.0006826b	user_options->brain_port	6863
TOP.678ec0c4.0006826b	user_options->brain_session	0
TOP.678ec0c4.0006826b	hashes->hashfile	C:\Users\Slovain Daniele\Desktop\python-wifi-master\src\handshake\2025-01-20-23-20-14.hccapx
TOP.678ec0c4.0006826b	hashes->hashlist_mode	5
TOP.678ec0c4.0006826b	hashes->hashlist_format	0
TOP.678ec0c4.0006826b	hashes->hashes_cnt	0
TOP.678ec0c4.0006826b	hashes->digests_cnt	1
TOP.678ec0c4.0006826b	hashes->digests_done_pot	0
TOP.678ec0c4.0006826b	hashes->digests_done_zero	0
TOP.678ec0c4.0006826b	hashes->digests_done	0
TOP.678ec0c4.0006826b	hashes->salts_cnt	1
TOP.678ec0c4.0006826b	hashes->salts_done	0
TOP.678ec0c4.0006826b	SUB.678ec0c4.000aea27	START
TOP.678ec0c4.0006826b	SUB.678ec0c4.000aea27	straight_ctx->dict	C:\Users\Slovain Daniele\Desktop\python-wifi-master\src\dict\tiberiy.txt
TOP.678ec0c4.0006826b	SUB.678ec0c4.000aea27	runtime_start	1737408709
TOP.678ec0c4.0006826b	SUB.678ec0c4.000aea27	runtime_stop	1737408709
TOP.678ec0c4.0006826b	SUB.678ec0c4.000aea27	hashes->digests_done_new	1
TOP.678ec0c4.0006826b	SUB.678ec0c4.000aea27	status-after-work	6
TOP.678ec0c4.0006826b	SUB.678ec0c4.000aea27	STOP
TOP.678ec0c4.0006826b	proc_start	1737408708
TOP.678ec0c4.0006826b	proc_stop	1737408710
TOP.678ec0c4.0006826b	STOP
